Ticker,final_score,score_basis,rating,category,price,weighted_rating,fund_rating_score,rating_cycles,rating_date,technical_score,vs50MA%,vs200MA%,RSI,VolSurge,1D%,1W%,1M%,AnnVol%,MaxDD%,AvgDollarVol,BarsFetched,RelStrength_AvgBench,RelStrength_vs_SPY,RelStrength_vs_DJI,RelStrength_vs_SPX,RelStrength_vs_IXIC,Flags,RelStrength_vs_AGG,RelStrength_vs_BND,RelStrength_vs_EFA,RelStrength_vs_VXUS,RelStrength_vs_EEM,RelStrength_vs_VNQ,RelStrength_vs_DBC,RelStrength_vs_GLD
BKGI,53.6,blended,Neutral,equity_intl,43.6,5.0,100.0,3yr,2026-08-31,42,-0.6,-1.7,46.3,0.64,-1.2,-0.8,-2.6,16.1,-11.7,19229735.0,3467,1.0,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench",,,1.0,1.0,,,,
CHPS,53.6,blended,Neutral,equity_us,83.86,5.0,100.0,3yr,2026-08-31,42,1.3,0.6,67.8,1.04,1.1,-1.7,1.4,53.2,-40.9,2174019.0,2242,-0.9,-0.9,0.3,-1.2,-1.8,MACD+,,,,,,,,
IEF,53.6,blended,Neutral,bond,90.86,5.0,100.0,"3yr, 5yr, 10yr",2026-08-31,42,-0.3,-1.7,42.6,0.82,-0.3,-0.2,-2.3,5.9,-8.5,611432981.0,5078,-0.2,,,,,Downtrend,-0.2,-0.2,,,,,,
MSTQ,53.6,blended,Neutral,equity_intl,38.78,5.0,100.0,3yr,2026-08-31,42,0.3,1.8,50.8,0.24,2.0,1.6,-0.9,39.6,-23.2,196830.0,1103,3.4,,,,,"Uptrend, MACD+, BeatingAvgBench, BeatingAllBench, LowLiquidity, ShortHistory",,,3.4,3.4,,,,
ILCV,53.6,blended,Neutral,equity_us,106.58,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,47,-0.7,-1.3,40.5,1.26,-0.4,-1.3,-1.7,12.2,-16.2,1994056.0,4999,-0.5,-0.5,0.7,-0.7,-1.4,Downtrend,,,,,,,,
TDVI,53.6,blended,Neutral,equity_us,31.07,5.0,100.0,3yr,2026-08-31,42,-1.0,-1.3,44.4,0.75,-0.4,-2.5,-0.4,20.8,-23.4,4709765.0,4259,-1.7,-1.8,-0.5,-2.0,-2.6,"Downtrend, MACD+",,,,,,,,
INFL,53.6,blended,Neutral,equity_intl,53.18,5.0,100.0,"3yr, 5yr",2026-08-31,42,-1.9,-2.2,43.3,0.49,-0.7,-2.9,-3.0,16.0,-16.7,7720883.0,5078,-1.2,,,,,"Downtrend, MACD+",,,-1.2,-1.2,,,,
FTMH,53.6,blended,Neutral,equity_us,11.13,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,47,-0.5,-2.5,48.7,0.89,-0.4,-0.5,-3.3,5.3,-6.5,3003247.0,1543,0.3,0.2,1.5,-0.0,-0.7,"Downtrend, BeatingAvgBench, ShortHistory",,,,,,,,
XLV,53.6,blended,Neutral,equity_us,167.92,4.2,84.0,"3yr, 5yr, 10yr",2026-08-31,46,0.4,-1.3,41.1,1.12,-0.3,1.4,-3.3,14.4,-18.8,1219833003.0,5078,2.2,2.2,3.4,2.0,1.3,"BeatingAvgBench, BeatingAllBench",,,,,,,,
USXF,53.6,blended,Neutral,equity_us,66.93,4.6,92.0,"3yr, 5yr",2026-08-31,44,0.1,-1.8,55.7,0.64,-0.1,-1.0,-1.6,18.6,-21.6,3281142.0,5076,-0.2,-0.2,1.0,-0.4,-1.1,MACD+,,,,,,,,
FTXH,53.6,blended,Neutral,equity_us,41.12,4.6,92.0,"3yr, 5yr",2026-08-31,44,0.9,-0.0,59.0,0.51,-0.3,1.5,-2.4,23.2,-21.6,3341103.0,2610,2.3,2.3,3.5,2.0,1.4,"MACD+, BeatingAvgBench, BeatingAllBench",,,,,,,,
SEIX,53.6,blended,Neutral,equity_us,23.38,4.0,80.0,"3yr, 5yr",2026-08-31,47,0.1,0.4,52.3,0.27,0.0,0.1,0.9,3.6,-5.5,3004686.0,5048,0.9,0.9,2.1,0.7,-0.0,"Uptrend, BeatingAvgBench",,,,,,,,
BKLC,53.6,blended,Neutral,equity_us,48.66,4.0,80.0,"3yr, 5yr",2026-08-31,47,0.1,-0.8,52.0,0.64,-0.1,-0.5,-0.5,14.6,-19.8,17120939.0,5068,0.3,0.2,1.5,0.0,-0.6,"MACD+, BeatingAvgBench",,,,,,,,
VT,53.6,blended,Neutral,equity_intl,158.09,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,47,-0.5,-1.5,45.0,1.26,-0.7,-1.2,-1.2,14.0,-17.2,327294486.0,5078,0.5,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench",,,0.5,0.5,,,,
EVNT,53.6,blended,Neutral,equity_us,12.22,4.4,88.0,"3yr, 5yr, 10yr",2026-08-31,45,-0.4,1.2,46.0,0.53,0.6,-1.0,2.9,24.9,-11.0,88210.0,1193,-0.2,-0.3,1.0,-0.5,-1.1,"MACD+, LowLiquidity, ShortHistory",,,,,,,,
VTIP,53.6,blended,Neutral,bond,49.34,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,47,-0.4,-0.7,28.5,0.95,-0.1,-0.3,-1.0,2.6,-2.8,142028357.0,5078,-0.3,,,,,"Downtrend, Oversold(RSI)",-0.3,-0.3,,,,,,
VUG,53.6,blended,Neutral,equity_us,88.39,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,47,0.8,0.3,60.5,0.84,0.2,0.3,1.2,18.9,-23.8,449591281.0,5078,1.1,1.0,2.3,0.8,0.1,"MACD+, BeatingAvgBench, BeatingAllBench",,,,,,,,
CGGO,53.6,blended,Neutral,equity_intl,39.4,4.0,80.0,3yr,2026-08-31,47,-0.4,-2.3,53.7,0.85,-0.4,-1.4,-2.7,17.5,-18.6,42437160.0,5078,0.3,,,,,"Downtrend, MACD+, BeatingAvgBench, BeatingAllBench",,,0.3,0.3,,,,
APUE,53.6,blended,Neutral,equity_us,46.81,4.0,80.0,3yr,2026-08-31,47,-0.1,-1.1,49.3,0.71,-0.2,-0.6,-1.0,14.6,-19.1,5196139.0,4977,0.2,0.1,1.4,-0.1,-0.8,"Downtrend, MACD+, BeatingAvgBench",,,,,,,,
BBP,53.6,blended,Neutral,equity_us,104.03,4.6,92.0,"3yr, 5yr, 10yr",2026-08-31,44,0.4,-0.3,59.1,1.12,-0.4,0.1,0.9,35.0,-29.6,1057763.0,2497,0.8,0.8,2.0,0.6,-0.1,"MACD+, BeatingAvgBench",,,,,,,,
PWB,53.6,blended,Neutral,equity_us,156.11,4.6,92.0,"3yr, 5yr, 10yr",2026-08-31,44,0.9,-0.3,64.1,0.66,0.5,-0.6,0.5,20.5,-23.4,16061490.0,5027,0.2,0.2,1.4,-0.0,-0.7,"MACD+, BeatingAvgBench",,,,,,,,
BITQ,53.6,blended,Neutral,equity_us,26.69,4.0,80.0,3yr,2026-08-31,47,4.6,8.1,77.6,0.77,5.5,3.4,9.9,61.2,-52.7,2524885.0,5075,4.2,4.1,5.4,3.9,3.3,"Uptrend, Overbought(RSI), MACD+, BeatingAvgBench, BeatingAllBench",,,,,,,,
JPLD,53.2,blended,Neutral,bond,51.54,4.3,86.0,"3yr, 5yr, 10yr",2026-08-31,45,-0.1,-0.7,31.5,0.75,-0.1,-0.1,-1.0,2.4,-2.3,18363646.0,5008,-0.1,,,,,Downtrend,-0.1,-0.1,,,,,,
IMTM,53.2,blended,Neutral,equity_intl,52.8,4.7,94.0,"3yr, 5yr, 10yr",2026-08-31,43,-0.8,-1.6,40.3,0.9,-0.7,-1.8,-1.3,17.1,-13.3,13859227.0,5079,-0.0,,,,,Downtrend,,,-0.0,-0.1,,,,
INCM,52.8,blended,Neutral,equity_us,29.0,4.0,80.0,3yr,2026-08-31,46,-0.6,-1.5,37.6,0.9,-0.5,-0.7,-2.1,7.7,-9.7,11091579.0,5067,0.1,0.0,1.3,-0.2,-0.8,"Downtrend, BeatingAvgBench",,,,,,,,
RDVI,52.8,blended,Neutral,equity_us,28.26,4.0,80.0,3yr,2026-08-31,46,-0.9,-3.2,39.2,1.05,-0.1,-1.8,-3.6,15.8,-21.3,28517493.0,5078,-1.0,-1.0,0.2,-1.3,-1.9,"Downtrend, MACD+",,,,,,,,
QTUM,52.8,blended,Neutral,equity_us,146.48,5.0,100.0,"3yr, 5yr",2026-08-31,41,0.7,-1.9,59.2,0.73,-0.2,-0.7,-1.5,27.4,-27.4,43405406.0,5066,0.1,0.1,1.3,-0.1,-0.8,"MACD+, BeatingAvgBench",,,,,,,,
IVW,52.8,blended,Neutral,equity_us,139.43,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,46,0.6,-0.2,61.3,0.75,0.2,-0.0,0.7,18.8,-23.2,172493868.0,5078,0.7,0.7,1.9,0.5,-0.2,"MACD+, BeatingAvgBench",,,,,,,,
TSEC,52.8,blended,Neutral,bond,25.33,4.0,80.0,3yr,2026-08-31,46,-0.3,-0.8,37.6,0.57,0.0,-0.4,-1.1,6.1,-4.8,842653.0,1827,-0.4,,,,,"Downtrend, MACD+, LowLiquidity",-0.4,-0.4,,,,,,
FTGC,52.8,blended,Neutral,commodity,31.25,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,46,-0.4,2.1,32.1,0.93,-0.5,-0.1,3.0,16.0,-17.6,14286106.0,5079,-0.2,,,,,-,,,,,,,0.0,-0.4
HEFA,52.8,blended,Neutral,equity_intl,46.35,4.8,96.0,"3yr, 5yr, 10yr",2026-08-31,42,-0.2,-1.6,45.2,0.6,-1.0,-0.4,-1.2,13.4,-15.1,29234079.0,5078,1.4,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench",,,1.4,1.4,,,,
DFIS,52.8,blended,Neutral,equity_intl,36.74,4.0,80.0,3yr,2026-08-31,46,-0.5,-1.5,41.5,1.13,-0.8,-0.9,-1.3,15.2,-14.8,15554074.0,5078,0.8,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench",,,0.8,0.8,,,,
STXG,52.8,blended,Neutral,equity_us,55.89,4.0,80.0,3yr,2026-08-31,46,0.0,0.3,57.4,0.68,1.6,-0.9,2.4,19.0,-22.2,474971.0,4088,-0.1,-0.2,1.1,-0.4,-1.1,"Uptrend, MACD+, LowLiquidity",,,,,,,,
TYLG,52.8,blended,Neutral,equity_intl,42.43,5.0,100.0,3yr,2026-08-31,41,1.3,,53.2,0.93,0.2,1.4,5.4,33.0,-25.1,265412.0,1999,3.2,,,,,"MACD+, BeatingAvgBench, BeatingAllBench, LowLiquidity",,,3.2,3.2,,,,
RISR,52.8,blended,Neutral,bond,36.64,5.0,100.0,3yr,2026-08-31,41,-0.1,-0.2,43.9,0.75,0.2,-0.2,-0.3,17.2,-10.8,3706664.0,4633,-0.2,,,,,"Downtrend, MACD+",-0.2,-0.2,,,,,,
HYHG,52.8,blended,Neutral,bond,64.78,5.0,100.0,"3yr, 5yr, 10yr",2026-08-31,41,0.2,0.1,55.2,0.2,-0.0,0.3,0.1,14.0,-10.1,3903162.0,4471,0.3,,,,,"MACD+, BeatingAvgBench, BeatingAllBench",0.3,0.3,,,,,,
FLSP,52.8,blended,Neutral,equity_us,28.89,4.0,80.0,"3yr, 5yr",2026-08-31,46,0.6,1.6,55.2,0.74,-0.1,0.8,2.0,20.3,-9.4,2711483.0,4269,1.6,1.6,2.8,1.3,0.7,"Uptrend, BeatingAvgBench, BeatingAllBench",,,,,,,,
AVDS,52.8,blended,Neutral,equity_intl,78.93,4.0,80.0,3yr,2026-08-31,46,-0.4,-1.2,43.2,1.19,-0.7,-0.7,-1.0,19.4,-14.9,1593826.0,3317,1.0,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench",,,1.0,1.0,,,,
AIQ,52.8,blended,Neutral,equity_intl,63.81,4.0,80.0,"3yr, 5yr",2026-08-31,46,0.2,0.3,53.8,0.84,-0.8,-0.3,1.5,23.5,-26.2,64184899.0,5078,1.4,,,,,"Uptrend, MACD+, BeatingAvgBench, BeatingAllBench",,,1.4,1.4,,,,
YLD,52.8,blended,Neutral,bond,18.76,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,46,-0.3,-0.8,39.8,1.29,-0.4,-0.3,-1.0,7.9,-7.7,4083512.0,5014,-0.3,,,,,Downtrend,-0.3,-0.3,,,,,,
SNPE,52.8,blended,Neutral,equity_us,69.4,4.6,92.0,"3yr, 5yr",2026-08-31,43,-0.4,-1.9,46.3,0.33,-0.4,-0.9,-1.8,14.4,-20.1,17760540.0,5078,-0.1,-0.2,1.1,-0.4,-1.0,"Downtrend, MACD+",,,,,,,,
FLEU,52.8,blended,Neutral,equity_intl,35.19,4.6,92.0,"3yr, 5yr",2026-08-31,43,-2.1,-2.6,42.6,1.39,-1.8,-3.5,-1.4,23.4,-16.4,277317.0,3100,-1.8,,,,,"Downtrend, LowLiquidity",,,-1.8,-1.8,,,,
VGIT,52.8,blended,Neutral,equity_us,57.21,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,46,-0.3,-1.5,38.6,0.76,-0.2,-0.3,-2.0,4.3,-6.0,340213555.0,5078,0.5,0.5,1.7,0.3,-0.4,"Downtrend, BeatingAvgBench",,,,,,,,
FFLC,52.8,blended,Neutral,equity_us,59.08,4.6,92.0,"3yr, 5yr",2026-08-31,43,-0.4,-1.4,48.8,0.4,-0.3,-1.0,-1.2,15.8,-20.6,4142292.0,4481,-0.3,-0.3,0.9,-0.5,-1.2,"Downtrend, MACD+",,,,,,,,
VOT,52.8,blended,Neutral,equity_us,291.57,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,46,-0.5,-3.4,47.3,0.97,-0.1,-1.2,-3.9,17.9,-22.0,50298830.0,5078,-0.4,-0.5,0.8,-0.7,-1.4,"Downtrend, MACD+",,,,,,,,
RWL,52.8,blended,Neutral,equity_us,131.73,4.8,96.0,"3yr, 5yr, 10yr",2026-08-31,42,-1.0,-1.8,33.5,0.86,-0.7,-1.5,-1.4,12.4,-15.0,32424036.0,5079,-0.7,-0.7,0.5,-0.9,-1.6,Downtrend,,,,,,,,
UITB,52.8,blended,Neutral,bond,45.35,4.0,80.0,"3yr, 5yr",2026-08-31,46,-0.2,-1.3,45.3,0.55,-0.2,0.0,-1.7,4.8,-6.3,7622682.0,5077,0.0,,,,,"Downtrend, MACD+, BeatingAvgBench, BeatingAllBench",0.0,0.0,,,,,,
SPYM,52.8,blended,Neutral,equity_us,89.34,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,46,-0.0,-1.0,51.5,0.81,-0.1,-0.5,-0.8,27.9,-11.8,653472949.0,1736,0.3,0.2,1.5,0.0,-0.7,"Downtrend, MACD+, BeatingAvgBench, ShortHistory",,,,,,,,
GLOF,52.8,blended,Neutral,equity_intl,60.6,4.2,84.0,"3yr, 5yr, 10yr",2026-08-31,45,-0.3,-0.6,55.2,0.3,-0.4,-0.8,-1.5,17.5,-16.9,1860410.0,3349,0.9,,,,,"Downtrend, MACD+, BeatingAvgBench, BeatingAllBench",,,1.0,0.9,,,,
NEAR,52.4,blended,Neutral,bond,50.09,4.1,82.0,"3yr, 5yr, 10yr",2026-08-31,45,-0.1,-0.6,34.3,0.67,-0.1,-0.1,-1.0,2.0,-2.5,28225452.0,5078,-0.1,,,,,Downtrend,-0.1,-0.1,,,,,,
FTOH,52.4,blended,Neutral,equity_us,8.04,4.3,86.0,"3yr, 5yr, 10yr",2026-08-31,44,-0.9,-2.6,30.0,0.76,-0.4,-0.5,-3.9,6.5,-5.6,293127.0,1100,0.3,0.3,1.5,0.0,-0.6,"Downtrend, BeatingAvgBench, LowLiquidity, ShortHistory",,,,,,,,
IXN,52.4,blended,Neutral,equity_intl,142.43,4.3,86.0,"3yr, 5yr, 10yr",2026-08-31,44,0.9,1.1,64.7,0.69,0.0,-0.3,2.4,24.0,-25.9,40668414.0,5078,1.4,,,,,"Uptrend, MACD+, BeatingAvgBench, BeatingAllBench",,,1.5,1.4,,,,
IGIB,52.4,blended,Neutral,bond,51.25,4.7,94.0,"3yr, 5yr, 10yr",2026-08-31,42,-0.2,-1.3,42.3,0.68,-0.2,-0.0,-1.8,5.1,-6.3,125976166.0,5078,0.0,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench",0.0,0.0,,,,,,
ROSC,52.4,blended,Neutral,equity_us,54.14,4.1,82.0,"3yr, 5yr, 10yr",2026-08-31,45,-2.2,,40.9,5.47,-1.3,-2.8,-0.1,35.5,-25.8,609577.0,1413,-2.0,-2.0,-0.8,-2.2,-2.9,"VolumeSurge, LowLiquidity, ShortHistory",,,,,,,,
GSPY,52.0,blended,Neutral,equity_us,42.25,4.0,80.0,"3yr, 5yr",2026-08-31,45,-0.3,1.8,49.1,0.32,0.2,-1.2,2.6,19.7,-18.7,307718.0,2773,-0.4,-0.4,0.8,-0.6,-1.3,"MACD+, LowLiquidity",,,,,,,,
LGRO,52.0,blended,Neutral,equity_us,46.42,4.0,80.0,3yr,2026-08-31,45,-1.1,4.9,56.5,0.82,0.3,-1.1,3.6,32.1,-23.9,1057382.0,1910,-0.3,-0.3,0.9,-0.5,-1.2,MACD+,,,,,,,,
NTSI,52.0,blended,Neutral,equity_intl,46.62,4.0,80.0,3yr,2025-09-30,45,-1.8,-3.2,41.6,1.24,-1.8,-1.4,-4.1,15.2,-14.4,687947.0,4550,0.4,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench, LowLiquidity",,,0.4,0.4,,,,
IDEQ,52.0,blended,Neutral,equity_intl,35.51,5.0,100.0,"3yr, 5yr, 10yr",2026-08-31,40,-0.4,-1.0,48.2,0.41,-0.9,-1.3,-0.8,18.4,-13.4,9824966.0,1809,0.5,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench",,,0.5,0.5,,,,
OPPJ,52.0,blended,Neutral,equity_intl,59.72,5.0,100.0,"3yr, 5yr, 10yr",2026-08-31,40,-0.5,1.8,39.5,0.35,-1.4,-1.1,5.6,23.4,-10.2,3519314.0,2002,0.6,,,,,"BeatingAvgBench, BeatingAllBench",,,0.7,0.6,,,,
SEA,52.0,blended,Neutral,equity_intl,20.58,4.0,80.0,3yr,2026-08-31,45,1.2,5.5,40.0,1.14,-1.3,1.2,8.5,25.9,-43.8,391151.0,3673,2.9,,,,,"Uptrend, BeatingAvgBench, BeatingAllBench, LowLiquidity",,,2.9,2.9,,,,
SBND,52.0,blended,Neutral,bond,18.44,4.0,80.0,3yr,2026-08-31,45,-0.3,-1.0,32.3,0.96,0.0,-0.4,-1.2,5.0,-3.4,1439444.0,2842,-0.3,,,,,Downtrend,-0.3,-0.3,,,,,,
CHAT,52.0,blended,Neutral,equity_us,88.93,5.0,100.0,3yr,2026-08-31,40,1.4,0.4,68.3,0.67,0.5,-0.3,1.9,31.6,-31.8,23589673.0,5073,0.5,0.5,1.7,0.3,-0.4,"MACD+, BeatingAvgBench",,,,,,,,
AVNM,52.0,blended,Neutral,equity_intl,83.85,5.0,100.0,3yr,2026-08-31,40,-0.9,-1.6,43.4,0.66,-1.1,-1.7,-1.3,17.5,-14.5,4429106.0,3614,0.1,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench",,,0.1,0.1,,,,
AVDV,52.0,blended,Neutral,equity_intl,110.75,4.4,88.0,"3yr, 5yr",2026-08-31,43,-0.3,-0.6,43.3,0.8,-0.6,-0.7,0.0,16.3,-14.9,74466156.0,5078,1.0,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench",,,1.0,1.0,,,,
DBJP,52.0,blended,Neutral,equity_intl,115.76,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,45,0.9,0.4,62.0,0.71,-0.2,0.7,-2.2,23.2,-23.9,1681060.0,4450,2.5,,,,,"MACD+, BeatingAvgBench, BeatingAllBench",,,2.5,2.5,,,,
IGEB,52.0,blended,Neutral,bond,43.58,4.0,80.0,"3yr, 5yr",2026-08-31,45,-0.0,-1.0,44.9,1.0,-0.2,0.1,-1.4,5.3,-7.4,8800294.0,5078,0.2,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench",0.2,0.2,,,,,,
AIA,52.0,blended,Neutral,equity_intl,139.65,4.6,92.0,"3yr, 5yr, 10yr",2026-08-31,42,0.1,0.6,57.2,0.24,-0.7,-1.4,1.5,25.3,-22.1,48525904.0,4953,0.4,,,,,"Uptrend, MACD+, BeatingAvgBench, BeatingAllBench",,,0.4,0.4,,,,
FTXL,52.0,blended,Neutral,equity_us,233.41,4.0,80.0,"3yr, 5yr",2026-08-31,45,1.8,2.2,65.6,1.17,-0.1,-0.6,2.8,38.1,-43.1,27426621.0,4966,0.2,0.2,1.4,-0.0,-0.7,"Uptrend, MACD+, BeatingAvgBench",,,,,,,,
FLHY,52.0,blended,Neutral,bond,23.82,4.0,80.0,"3yr, 5yr",2026-08-31,45,-0.2,-1.1,44.1,0.44,-0.2,-0.2,-1.4,5.2,-7.5,4539298.0,5054,-0.2,,,,,"Downtrend, MACD+",-0.2,-0.2,,,,,,
IMCG,52.0,blended,Neutral,equity_us,93.76,4.4,88.0,"3yr, 5yr, 10yr",2026-08-31,43,-0.6,-3.4,45.5,0.78,-0.3,-1.5,-3.7,17.5,-22.5,14070005.0,5079,-0.7,-0.7,0.5,-1.0,-1.6,"Downtrend, MACD+",,,,,,,,
KORP,52.0,blended,Neutral,bond,45.28,4.6,92.0,"3yr, 5yr",2026-08-31,42,-0.0,-1.0,46.2,0.64,-0.2,0.1,-1.3,5.4,-7.5,4128429.0,4938,0.1,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench",0.1,0.1,,,,,,
STXE,52.0,blended,Neutral,equity_em,50.04,4.0,80.0,3yr,2026-08-31,45,-0.9,1.3,60.2,0.29,-0.5,-2.1,0.4,23.2,-21.5,570974.0,4425,-0.5,,,,,"MACD+, LowLiquidity",,,,,-0.5,,,
SFY,52.0,blended,Neutral,equity_us,151.53,5.0,100.0,"3yr, 5yr",2026-08-31,40,0.2,-0.0,68.4,0.78,0.1,0.7,-2.2,235.6,-82.4,2439808.0,4897,1.5,1.5,2.7,1.2,0.6,"MACD+, BeatingAvgBench, BeatingAllBench",,,,,,,,
DFAX,52.0,blended,Neutral,equity_intl,37.53,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,45,-0.6,-1.3,44.0,1.0,-0.8,-1.4,-0.8,14.7,-14.4,21866415.0,5079,0.4,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench",,,0.4,0.3,,,,
FMUB,52.0,blended,Neutral,bond,49.3,5.0,100.0,3yr,2026-08-31,40,-0.4,-1.9,43.4,0.54,-0.4,-0.4,-2.8,6.2,-4.7,3271779.0,2073,-0.4,,,,,Downtrend,-0.4,-0.4,,,,,,
JCPI,52.0,blended,Neutral,bond,46.6,5.0,100.0,"3yr, 5yr, 10yr",2026-08-31,40,-0.5,-1.4,35.9,0.59,-0.1,-0.4,-2.1,5.6,-5.2,2356010.0,4377,-0.4,,,,,Downtrend,-0.4,-0.4,,,,,,
CWI,52.0,blended,Neutral,equity_intl,40.59,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,45,-0.8,-1.7,44.7,1.1,-0.9,-1.8,-1.5,15.2,-14.6,7141415.0,5079,-0.0,,,,,Downtrend,,,0.0,-0.0,,,,
DFIV,51.6,blended,Neutral,equity_intl,57.3,4.3,86.0,"3yr, 5yr, 10yr",2026-08-31,43,-1.5,-1.5,31.9,1.1,-1.6,-2.1,-0.9,14.5,-15.2,65298508.0,5078,-0.4,,,,,-,,,-0.4,-0.4,,,,
BKFI,51.6,blended,Neutral,bond,23.19,4.1,82.0,"3yr, 5yr, 10yr",2026-08-31,44,-0.5,,50.0,1.13,0.2,-1.0,-1.4,11.9,-5.8,806563.0,537,-1.0,,,,,"MACD+, LowLiquidity, ShortHistory",-1.0,-1.0,,,,,,
SMH,51.2,blended,Neutral,equity_us,565.02,5.0,100.0,"3yr, 5yr, 10yr",2026-08-31,39,1.4,0.2,69.9,0.73,0.7,-0.7,0.8,34.7,-36.1,3524866617.0,5078,0.1,0.1,1.3,-0.1,-0.8,"MACD+, BeatingAvgBench",,,,,,,,
EGUS,51.2,blended,Neutral,equity_us,58.15,4.0,80.0,3yr,2026-08-31,44,,,,3.41,1.7,0.3,-0.9,36.5,-25.1,254548.0,1349,1.1,1.1,2.3,0.8,0.2,"VolumeSurge, MACD+, BeatingAvgBench, BeatingAllBench, LowLiquidity, ShortHistory, RSI_NaN",,,,,,,,
DFLV,51.2,blended,Neutral,equity_us,41.01,4.0,80.0,3yr,2026-08-31,44,-1.0,-1.9,36.9,1.19,-0.7,-1.7,-2.2,13.7,-18.7,23188828.0,5080,-0.9,-0.9,0.3,-1.2,-1.8,Downtrend,,,,,,,,
NACP,51.2,blended,Neutral,equity_us,60.59,5.0,100.0,"3yr, 5yr",2026-08-31,39,1.0,,52.7,0.39,1.5,0.9,2.6,24.3,-20.3,345830.0,2056,1.7,1.6,2.9,1.4,0.7,"MACD+, BeatingAvgBench, BeatingAllBench, LowLiquidity",,,,,,,,
IMCB,51.2,blended,Neutral,equity_us,95.82,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,44,-0.9,-3.1,42.4,0.79,-0.5,-1.6,-3.7,15.2,-21.3,2685696.0,5019,-0.9,-0.9,0.4,-1.1,-1.8,"Downtrend, MACD+",,,,,,,,
FYC,51.2,blended,Neutral,equity_us,116.55,4.6,92.0,"3yr, 5yr, 10yr",2026-08-31,41,-0.4,-3.1,45.9,1.31,-1.0,-0.4,-3.6,22.8,-28.8,7820298.0,4907,0.4,0.3,1.6,0.1,-0.6,"Downtrend, BeatingAvgBench",,,,,,,,
DGT,51.2,blended,Neutral,equity_intl,188.02,4.8,96.0,"3yr, 5yr, 10yr",2026-08-31,40,-1.1,-1.6,42.9,0.57,-1.1,-0.6,-1.8,14.5,-15.2,1752909.0,4325,1.1,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench",,,1.2,1.1,,,,
HEZU,51.2,blended,Neutral,equity_intl,48.28,4.8,96.0,"3yr, 5yr, 10yr",2026-08-31,40,-0.7,-2.6,50.9,0.41,-1.2,-0.2,-3.6,15.2,-15.7,3216525.0,4894,1.5,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench",,,1.5,1.5,,,,
CGMS,51.2,blended,Neutral,bond,26.81,4.0,80.0,3yr,2026-08-31,44,-0.1,-0.9,44.5,0.78,-0.2,-0.0,-1.1,4.4,-6.5,31871200.0,5079,-0.0,,,,,Downtrend,-0.0,-0.0,,,,,,
CGUS,51.2,blended,Neutral,equity_us,44.18,4.0,80.0,3yr,2026-08-31,44,-0.3,-2.2,50.2,0.55,-0.2,-1.1,-2.0,14.3,-19.4,54154736.0,5078,-0.4,-0.4,0.9,-0.6,-1.3,"Downtrend, MACD+",,,,,,,,
TXS,51.2,blended,Neutral,equity_us,41.89,5.0,100.0,3yr,2026-08-31,39,-0.7,1.5,39.7,0.75,-0.9,-1.1,3.4,23.1,-21.2,232305.0,2504,-0.3,-0.3,0.9,-0.6,-1.2,LowLiquidity,,,,,,,,
IDMO,51.2,blended,Neutral,equity_intl,61.45,5.0,100.0,"3yr, 5yr, 10yr",2026-08-31,39,-1.1,-1.9,40.8,0.59,-1.2,-2.3,-1.2,17.8,-14.0,18342495.0,5007,-0.5,,,,,Downtrend,,,-0.5,-0.5,,,,
ROE,51.2,blended,Neutral,equity_us,42.7,4.0,80.0,3yr,2026-08-31,44,-0.6,-1.9,45.8,0.76,-0.5,-1.5,-2.7,18.1,-20.2,959647.0,3840,-0.7,-0.7,0.5,-0.9,-1.6,"Downtrend, MACD+, LowLiquidity",,,,,,,,
