Ticker,final_score,score_basis,rating,category,price,weighted_rating,fund_rating_score,rating_cycles,rating_date,technical_score,vs50MA%,vs200MA%,RSI,VolSurge,1D%,1W%,1M%,AnnVol%,MaxDD%,AvgDollarVol,BarsFetched,RelStrength_AvgBench,RelStrength_vs_SPY,RelStrength_vs_DJI,RelStrength_vs_SPX,RelStrength_vs_IXIC,Flags,RelStrength_vs_AGG,RelStrength_vs_BND,RelStrength_vs_EFA,RelStrength_vs_VXUS,RelStrength_vs_EEM,RelStrength_vs_VNQ,RelStrength_vs_DBC,RelStrength_vs_GLD
OVLH,55.2,blended,Neutral,equity_intl,41.99,4.0,80.0,"3yr, 5yr",2026-08-31,49,-0.2,-0.7,53.8,0.14,-0.0,0.0,-1.7,13.2,-9.1,1251511.0,2829,1.7,,,,,"Downtrend, MACD+, BeatingAvgBench, BeatingAllBench",,,1.8,1.7,,,,
FLMX,55.2,blended,Neutral,equity_us,36.02,4.6,92.0,"3yr, 5yr",2025-10-31,46,-1.6,-2.7,50.2,1.37,-0.2,-2.1,-2.7,23.5,-34.1,437644.0,4599,-1.3,-1.3,-0.1,-1.5,-2.2,"Downtrend, MACD+, LowLiquidity",,,,,,,,
HYS,54.8,blended,Neutral,bond,91.7,4.1,82.0,"3yr, 5yr, 10yr",2026-08-31,48,-0.2,-0.9,41.5,1.32,-0.3,-0.2,-1.2,5.0,-6.7,7703458.0,5078,-0.1,,,,,Downtrend,-0.1,-0.1,,,,,,
VPL,54.8,blended,Neutral,equity_us,115.32,4.3,86.0,"3yr, 5yr, 10yr",2025-09-30,47,-0.9,-0.3,43.3,1.48,-1.4,-2.4,1.1,19.0,-18.8,44235086.0,5078,-1.6,-1.6,-0.4,-1.8,-2.5,-,,,,,,,,
QLC,54.8,blended,Neutral,equity_us,91.49,4.1,82.0,"3yr, 5yr, 10yr",2026-08-31,48,-0.3,-1.2,47.1,0.89,-0.3,-0.9,-1.2,15.9,-19.5,2601019.0,4144,-0.2,-0.2,1.1,-0.4,-1.1,"Downtrend, MACD+",,,,,,,,
OALC,54.4,blended,Neutral,equity_us,40.94,4.0,80.0,3yr,2026-08-31,48,-0.4,-1.9,52.4,0.87,-0.3,-0.0,-3.3,16.9,-17.8,921748.0,4139,0.7,0.7,1.9,0.5,-0.2,"Downtrend, MACD+, BeatingAvgBench, LowLiquidity",,,,,,,,
VCIT,54.4,blended,Neutral,bond,79.66,4.2,84.0,"3yr, 5yr, 10yr",2026-08-31,47,-0.2,-1.3,42.5,1.16,-0.2,0.0,-1.8,5.2,-6.3,733093512.0,5078,0.0,,,,,"Downtrend, BeatingAvgBench, BeatingAllBench",0.1,0.0,,,,,,
WLTG,54.4,blended,Neutral,equity_us,38.16,5.0,100.0,3yr,2026-08-31,43,-0.8,-0.2,48.8,0.95,0.6,-0.9,2.7,21.4,-17.1,472507.0,2327,-0.1,-0.2,1.1,-0.4,-1.1,LowLiquidity,,,,,,,,
CGMU,54.4,blended,Neutral,equity_us,26.44,4.0,80.0,3yr,2026-08-31,48,-0.4,-1.7,40.8,1.0,-0.3,-0.5,-2.3,3.5,-5.9,42481110.0,5078,0.3,0.3,1.5,0.1,-0.6,"Downtrend, BeatingAvgBench",,,,,,,,
IUSG,54.4,blended,Neutral,equity_us,190.1,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,48,0.5,-0.4,61.0,0.97,0.2,-0.2,0.4,18.7,-23.2,86239541.0,5079,0.6,0.6,1.8,0.4,-0.3,"MACD+, BeatingAvgBench",,,,,,,,
FNDX,54.4,blended,Neutral,equity_us,32.07,4.8,96.0,"3yr, 5yr, 10yr",2026-08-31,44,-0.7,-1.2,38.9,0.99,-0.7,-1.2,-1.3,12.9,-17.3,86608353.0,5078,-0.4,-0.5,0.8,-0.7,-1.4,Downtrend,,,,,,,,
PIT,54.4,blended,Neutral,commodity,83.76,5.0,100.0,3yr,2026-08-31,43,0.3,5.7,47.5,0.32,0.0,0.8,7.0,30.3,-17.5,4974412.0,2226,0.7,,,,,"Uptrend, BeatingAvgBench, BeatingAllBench",,,,,,,0.9,0.5
DFIP,54.4,blended,Neutral,bond,39.58,4.0,80.0,3yr,2026-08-31,48,-0.6,-1.6,34.1,1.44,-0.2,-0.6,-2.1,4.9,-7.4,5018913.0,5075,-0.5,,,,,Downtrend,-0.5,-0.5,,,,,,
IWY,54.4,blended,Neutral,equity_us,287.68,4.2,84.0,"3yr, 5yr, 10yr",2026-08-31,47,0.8,0.2,63.2,0.84,0.2,0.2,1.2,18.9,-23.9,77785583.0,5078,1.0,0.9,2.2,0.7,0.1,"MACD+, BeatingAvgBench, BeatingAllBench",,,,,,,,
AOA,54.4,blended,Neutral,equity_intl,97.57,4.0,80.0,"3yr, 5yr, 10yr",2026-08-31,48,-0.3,-1.3,46.7,0.59,-0.4,-0.8,-1.1,11.5,-13.3,11145250.0,5078,0.9,,,,,"Downtrend, MACD+, BeatingAvgBench, BeatingAllBench",,,0.9,0.9,,,,
